n_estimators,test-mlogloss-mean,test-mlogloss-std,train-mlogloss-mean,train-mlogloss-std
0,1.0401212000000002,0.0004970176656819549,1.0395219999999998,0.00028329136944145906
1,0.9904968000000001,0.0008936866117381456,0.9893564000000001,0.0006758025155324573
2,0.9485562,0.0012397485874160073,0.9468736,0.001011390646585196
3,0.9122802,0.0013053429281227153,0.9101456000000001,0.001016654631622765
4,0.8808912000000001,0.001975131631056525,0.8783272,0.000800946290334161
5,0.8532210000000001,0.0023591165295508425,0.8501953999999999,0.0009453229289507186
6,0.8290834,0.0027379798830525,0.8256425999999999,0.0009145745677636109
7,0.8082823999999998,0.0029788352488850562,0.8044072,0.0009386514582101404
8,0.7898075999999999,0.003131382416760996,0.7854622,0.0011632149242509257
9,0.7737141999999999,0.0031273210516351026,0.76898,0.0014845350787367829
10,0.7593542000000001,0.0032885674327889367,0.7542139999999999,0.0015458622189574367
11,0.7465746,0.003547834415527287,0.7409782,0.0015176834188987067
12,0.7352176,0.0036543378935177864,0.7291548000000001,0.001626697439599668
13,0.7251378,0.003824298387939908,0.7185377999999999,0.0016026507292607331
14,0.7159962,0.004072064557445043,0.7089566000000002,0.0015076870497553589
15,0.7078809999999999,0.004095052038741395,0.700413,0.001581106574523063
16,0.7006897999999999,0.004050036809709269,0.6927416,0.0017506786798267727
17,0.6942522,0.0041879080887717544,0.6859516,0.0018297196069343479
18,0.6883414,0.004266012826984933,0.6796278000000001,0.0018453539931406226
19,0.6831494,0.004474936719105638,0.6739905999999999,0.0017992992636023661
20,0.678149,0.004502107284372485,0.6685904,0.0018864987251519846
21,0.673671,0.004529708202522556,0.6637156,0.001799762828819394
22,0.6696593999999999,0.004710840460045338,0.6592309999999999,0.001713225379218969
23,0.6661158,0.004755586836553388,0.6551926,0.0016953087742355448
24,0.6627252,0.004892389493897629,0.6514058,0.0016534011491468297
25,0.6594368,0.004898480066306253,0.6477144,0.0017886875188249227
26,0.6565594,0.004923128460643696,0.6444132,0.001907550513092636
27,0.653801,0.0051760778974045745,0.6413648000000001,0.0018350301795883315
28,0.6511136000000001,0.0051206087763077494,0.6383318000000001,0.0018841360248134833
29,0.6486438,0.00508024434058049,0.6355296,0.0019781796278397082
30,0.6465946,0.005246452004926753,0.6330356,0.002008128541702434
31,0.6445576000000001,0.005398897872714376,0.6306187999999999,0.0020086024395086265
32,0.6426186,0.005312087107719529,0.6282582,0.002087859324763045
33,0.6406738000000001,0.005390912219652635,0.6259482000000001,0.002067460413163937
34,0.6389276,0.005401712972752253,0.6238469999999999,0.0019897715446754163
35,0.6371372000000001,0.005369811668950776,0.621596,0.002042783884800333
36,0.6355162,0.005363042173990437,0.6195860000000001,0.002048090134735322
37,0.6340007999999999,0.005501726070970828,0.617787,0.0018954845290848296
38,0.632747,0.005537203879215565,0.6160640000000001,0.0018780704992092262
39,0.6314607999999999,0.005458794423680017,0.6144406,0.0019858911954082556
40,0.6301602,0.005499886086093055,0.6128028,0.0018805777197446537
41,0.6290626,0.005467411914242424,0.6112858000000001,0.0019105446762638066
42,0.627831,0.005451331617137209,0.6097028000000001,0.0018874165835871923
43,0.6267332,0.005630761490242696,0.6081968000000001,0.001806380070749226
44,0.625698,0.005561694489991322,0.606759,0.001838318361981963
45,0.6245613999999999,0.0055351793322348675,0.605315,0.0019216098459364454
46,0.6236726,0.005761050202870984,0.6040402,0.0017019219018509731
47,0.6228078,0.005759972826324803,0.6028166,0.0017006518279765435
48,0.6219854,0.0056542658798468285,0.6015456,0.0017224443793632449
49,0.6212022000000001,0.005631079448915644,0.6004240000000001,0.0018025817041122155
50,0.6204674,0.005715496114949265,0.5992494,0.001672461610919625
