,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_min_child_weight,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,132.00243320465088,0.6599197864532471,-0.5982571135587846,-0.5714679876346613,3,1,"{'max_depth': 3, 'min_child_weight': 1}",9,-0.5930068534097197,-0.5729314822245546,-0.5969119340253599,-0.5723385729823761,-0.5985967472597364,-0.5713800854376043,-0.6021249301065492,-0.5702613851154065,-0.6006458289723208,-0.5704284124133654,1.8702369553208433,0.03855723942351204,0.003167250272625816,0.001043462346110738
1,133.6851552963257,0.7540702819824219,-0.5980709636703793,-0.5723891033746326,3,3,"{'max_depth': 3, 'min_child_weight': 3}",8,-0.5919992556905537,-0.5742269982364147,-0.5970498456023816,-0.5732635131406908,-0.5994526237075324,-0.5720099907616891,-0.6013552296005013,-0.5713098651921433,-0.600498601560032,-0.5711351495422251,1.499461628470703,0.09510427520850598,0.003361510847137953,0.0011851861966448846
2,132.9268413543701,0.7483662605285645,-0.5979673457525808,-0.5728436548870586,3,5,"{'max_depth': 3, 'min_child_weight': 5}",7,-0.592616192647256,-0.574214852957531,-0.5963465012419373,-0.5737944642824448,-0.598414282910496,-0.5723872450579804,-0.6013985559825568,-0.5717430650168704,-0.6010621365512583,-0.5720786471204664,0.8178791310570709,0.08410210010553888,0.0032500142263457567,0.0009786794707368133
3,200.40651230812074,0.9668748855590821,-0.5886164212342897,-0.49813849831183993,5,1,"{'max_depth': 5, 'min_child_weight': 1}",2,-0.5821359419471728,-0.4996113338667522,-0.5872613748864097,-0.4982230737679504,-0.5901343965828129,-0.49753009739870335,-0.5908231637311009,-0.4994753614522017,-0.5927284787628425,-0.4958526250735923,5.689247551212881,0.09758090429583018,0.0036855048570937003,0.0013826763010980011
4,185.33542914390563,0.8977532386779785,-0.5887028630656372,-0.5043254155519079,5,3,"{'max_depth': 5, 'min_child_weight': 3}",3,-0.5826778334863651,-0.5060138028178391,-0.5859987411600318,-0.5043115824189348,-0.5898193582275102,-0.5040339931463828,-0.5923468222637626,-0.5045289793200988,-0.5926727667259212,-0.5027387200562837,0.5416597893914592,0.1231430020436053,0.0038444269759854936,0.0010483139546264557
5,186.80412783622742,0.9923275947570801,-0.5884556952107531,-0.5086430627325637,5,5,"{'max_depth': 5, 'min_child_weight': 5}",1,-0.5835746618260079,-0.5099728144175469,-0.5865077293217925,-0.5092926821560742,-0.5896426556391179,-0.5079669526452015,-0.5899101743616622,-0.5083387057240168,-0.5926445279776501,-0.5076441587199788,1.7643867758056655,0.10211984459087899,0.0031204932093416202,0.0008646169330241539
6,291.40852012634275,2.361994743347168,-0.5918909921130695,-0.3824982982767514,7,1,"{'max_depth': 7, 'min_child_weight': 1}",6,-0.5846987118459782,-0.3838775062193222,-0.5911487300190371,-0.382013278383783,-0.5911350024165167,-0.3815304516404554,-0.5937499603263783,-0.38081460480477175,-0.5987246328414594,-0.3842556503354245,11.016622492873593,0.1859710771878093,0.00453867481219704,0.0013414392213234629
7,298.2148684978485,2.090082311630249,-0.5905546794814627,-0.40566122689372114,7,3,"{'max_depth': 7, 'min_child_weight': 3}",5,-0.5818010787020039,-0.40847158193142463,-0.5905613904166077,-0.405077544262662,-0.5923855592661457,-0.4047738561985556,-0.5937289051008415,-0.4043782303459966,-0.59429760147272,-0.40560492172996676,3.581337554401042,0.3118141607267516,0.00456212523884055,0.0014611952652073916
8,261.6339766025543,1.4921258449554444,-0.5899339641254161,-0.4212001607753478,7,5,"{'max_depth': 7, 'min_child_weight': 5}",4,-0.5832087095524086,-0.4229333917802894,-0.5883531731789674,-0.421090466931585,-0.5904985709505962,-0.42035468723114444,-0.5921817461813198,-0.419702960091148,-0.5954292909066657,-0.42191929784257226,6.130769910154188,0.062491977563338824,0.004081513334905892,0.0011392730998336285
9,329.62301578521726,3.2473588943481446,-0.6096396374334081,-0.2502462153019155,9,1,"{'max_depth': 9, 'min_child_weight': 1}",12,-0.5976057268792099,-0.25129307839358833,-0.6110609324134539,-0.250662236688284,-0.6108308683397231,-0.2503649864356193,-0.6141622966743665,-0.24983878293429695,-0.6145398521363594,-0.2490719920577889,1.0211369472173155,0.024923830626131495,0.0062084632770883046,0.0007520510714113114
10,325.62690715789796,2.9724213123321532,-0.60260582284195,-0.29986298219239343,9,3,"{'max_depth': 9, 'min_child_weight': 3}",11,-0.5962601740850627,-0.30165586373587094,-0.5988463965876047,-0.3022663459784461,-0.6039673877383016,-0.3006302512946388,-0.608007315240081,-0.29916464146840727,-0.6059488565754358,-0.295597808484604,1.3665248273690744,0.17050568489545279,0.004395654063994612,0.0023773375913701427
11,305.13964076042174,2.116182470321655,-0.5994610111119681,-0.3299748138268139,9,5,"{'max_depth': 9, 'min_child_weight': 5}",10,-0.5932661119259031,-0.33004236950705107,-0.598803783582829,-0.3306976946426569,-0.5997825874071213,-0.3319758561049312,-0.6000172674988307,-0.3270749209738072,-0.6054371214080366,-0.3300832279056231,19.75374704291141,0.7868849011029696,0.0038711536011301574,0.0016094982332430458
